sample_id,label
ministral_8b_instruct::trivia_qa_2_60k::base::main::52884,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55315,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22186,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35340,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25911,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13056,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::52354,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30106,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::38199,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::57996,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10560,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25322,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::17760,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22923,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56210,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::57016,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::44887,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32037,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36622,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::28207,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30740,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35696,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::42681,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15348,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2147,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::54802,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53474,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5849,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::52133,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14936,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::51882,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56387,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::46797,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15040,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27719,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55256,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::8784,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::31850,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::34704,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::7971,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13546,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22785,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56754,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::26972,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::4481,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2475,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9449,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::3691,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53025,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::20131,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32569,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9421,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::34174,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::19350,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1138,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::31791,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::29174,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::17540,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1974,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15554,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::38072,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::21275,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::48149,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::41943,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::54718,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40283,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::34811,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11926,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22031,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10682,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::28570,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::17081,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2275,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::16738,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10337,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40321,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1233,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58349,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::39832,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::37479,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53137,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::41034,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::6191,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::3639,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::41948,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10914,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::39493,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::131,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15885,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::20865,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24273,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24582,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::519,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36775,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::34340,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::18413,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::51594,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49494,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::45969,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::43204,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40795,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40306,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24667,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::18314,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15698,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1849,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::111,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58407,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::21829,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24882,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::20685,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2321,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::33972,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49026,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::26603,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27356,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::3578,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::20442,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35547,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::44726,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58079,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::39257,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::29964,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22338,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::38586,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::26767,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::48674,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14746,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49424,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::34899,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::44521,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10681,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25209,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53931,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40001,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14671,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::26147,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36683,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58465,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9516,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::18928,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::21528,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::381,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::12509,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::33021,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32180,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9982,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55969,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24740,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55796,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::41619,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::6439,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2624,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13938,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53985,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::29949,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35507,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22541,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11989,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10905,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13325,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::42319,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35803,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36978,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55821,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10806,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::19356,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40443,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::3120,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14612,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::57854,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55134,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30514,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::50415,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11468,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53933,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56979,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36936,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5795,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49914,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10556,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9943,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1905,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10449,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::52480,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5798,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56959,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55783,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::23230,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58472,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1081,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25932,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25121,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::12940,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::23652,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::4642,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15894,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::4856,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::50033,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::54377,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14130,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10463,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14380,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27200,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::7584,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49182,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11425,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::18927,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10675,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11273,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::28405,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2987,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::37947,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::43235,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::6053,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58494,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::58538,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::14634,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22905,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::19306,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36257,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15386,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27812,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27285,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53860,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22525,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::47921,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::57227,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::7196,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::45679,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36956,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11277,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2737,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32213,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49916,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::50831,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15905,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::20401,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49365,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22208,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::54504,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13584,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32356,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22917,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::47279,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5966,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32676,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::4008,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2554,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::48732,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9338,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24400,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::45097,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::8403,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::39293,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40103,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::44134,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15783,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49896,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40719,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25045,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::43401,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30236,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::28540,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55664,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::2701,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15085,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13097,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::45816,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15004,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1639,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::7486,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::46453,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25856,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27816,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11528,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13176,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::37753,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24948,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::19692,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::23970,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::33618,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49364,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1098,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24985,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::8605,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::7824,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11356,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::54379,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13868,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::10551,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30287,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::46115,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22431,1
