method,model,dataset,status,auroc,auprc,accuracy,f1,brier,ece,threshold,source_path,source_sha256,metric_locator
Method A TriviaQA-source Direct Transfer,qwen_2.5_7b_instruct,trivia_qa_2_60k,OK,0.8478540597528128,0.8706238534249687,0.7713504896378957,0.7988379082348227,0.15747372806072235,0.025125278591383457,0.5791887998580932,02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,57d6873eb2f60facc1f9d92e7be4a5c32f1988698faaf3d53e75131a27a5f33b,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,qwen_2.5_7b_instruct,notable_people,OK,0.8364604129585892,0.8013990890006298,0.7393249288328589,0.5986224170319349,0.1717837154865265,0.09988011316149738,0.5791887998580932,02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/notable_people/ensemble_test_metrics.json,ebcc9f86f8eab2c839413f61a01159c7a7a7a50265cf6cda3d9145c70e389d65,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,qwen_2.5_7b_instruct,cities_10k,OK,0.8410671425350982,0.8775768676262742,0.746995994659546,0.7883863763260748,0.15130139887332916,0.04609469218908229,0.5791887998580932,02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/cities_10k/ensemble_test_metrics.json,3922eeeafff50429928c2f56532d604c936fe2ecc3d2c476ae8980cb7ce0aa21,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,qwen_2.5_7b_instruct,math_operations_6k,OK,0.9746349102297971,0.9934189577849251,0.7071428571428572,0.7791741472172352,0.1443178355693817,0.26741868051744644,0.5791887998580932,02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/math_operations_6k/ensemble_test_metrics.json,0ccbdfc17704a655f34dd12578ebfb1c894be01203b00229119c866d1cc3f81e,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,qwen_2.5_7b_instruct,medals_9k,OK,0.6055085505616146,0.4085608328098018,0.7223459539717891,0.05555555555555555,0.19743379950523376,0.05440331525884916,0.5791887998580932,02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/medals_9k/ensemble_test_metrics.json,7e7e24c184f36a9d9690478ee36575257a6cc11c420aa4be4ed63331ed2799b6,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,qwen_2.5_7b_instruct,gsm8k,FORMAL,0.6587702721618972,0.5384225158770668,0.6608497723823976,0.18579234972677597,0.2191125452518463,0.0847109036127244,0.5791887998580932,gsm8k_aligned_v2/metrics/qwen_2.5_7b_instruct/method_a_trivia_to_gsm8k/ensemble_test_metrics.json,0f332f2c2640285e9c0b4dedf19889157040cd004c6074c05617d2f63933c274,json:/test
Method A TriviaQA-source Direct Transfer,ministral_8b_instruct,trivia_qa_2_60k,OK,0.8747170805348726,0.913735833062346,0.803917103165566,0.842911877394636,0.13636638224124908,0.04733482525058038,0.6439071953296661,02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,e23313e399d939eae184fd1da47cc52a6a2e53e3252bb4e6c331e08bf6c5c09f,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,ministral_8b_instruct,notable_people,OK,0.7358220751519864,0.8442352371023565,0.6802278275020341,0.7526746381371932,0.1923743635416031,0.07698989213967924,0.6439071953296661,02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/notable_people/ensemble_test_metrics.json,aeb73dd732007c862493b6f81c6a96c9b9f1598b36c92c0f06aa3bd86f18e506,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,ministral_8b_instruct,cities_10k,OK,0.8276915332181389,0.9298073154416133,0.7344896597731821,0.7933541017653167,0.1683640331029892,0.11637404445233225,0.6439071953296661,02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/cities_10k/ensemble_test_metrics.json,21d02f9ecf3c7f59d563c4d0195d6c738bbc0270391a6b0ee9c6ae1ba3f1e7ca,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,ministral_8b_instruct,math_operations_6k,OK,0.9482953746921023,0.9791839293297678,0.7738095238095238,0.8240740740740741,0.1125972718000412,0.1503957610666042,0.6439071953296661,02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/math_operations_6k/ensemble_test_metrics.json,3f520f946c18cfcd2e9d6e4279bcbb19041c5d86de588648dbd00b47a913cabc,json:/test (fallback: json:/)
