method,model,dataset,status,dev_auroc,test_auroc,test_auprc,test_accuracy,test_f1,test_brier,test_ece,threshold,test_threshold,dev_test_threshold_match,test_source_path,test_source_sha256,test_metric_locator,dev_source_path,dev_source_sha256,dev_metric_locator,reference_role
Method B Frozen-neuron Task Adaptation,qwen_2.5_7b_instruct,trivia_qa_2_60k,OK,0.85428864635826,0.8478540597528128,0.8706238534249687,0.7713504896378957,0.7988379082348227,0.15747372806072235,0.025125278591383457,0.5791887998580932,0.5791887998580932,True,02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,57d6873eb2f60facc1f9d92e7be4a5c32f1988698faaf3d53e75131a27a5f33b,json:/test (fallback: json:/),02_模型实验过程与结果/qwen_2.5_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/source_ensemble_dev_metrics.json,820a604a38efa459ec180a1265a30e3a6559930ee989eecf6a18bb5da12b912f,json:/dev (fallback: json:/),triviaqa_in_domain_shared_method_a_reference
Method B Frozen-neuron Task Adaptation,qwen_2.5_7b_instruct,notable_people,OK,0.9113393404375637,0.8909138282249277,0.8756097477435925,0.8259455063033754,0.7914230019493177,0.12772749364376068,0.03593419612987151,0.39559075236320496,0.39559075236320496,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/notable_people/ensemble_test_metrics.json,ad0d5c3ba43455258c2a4dedc76cb8cc24713e9efef57036782dca63b0038c47,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/notable_people/ensemble_dev_metrics.json,5fbf0e8c85e83a1f283a1256a2cfd250076e694707e2404a5b2ec545c111f89d,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,qwen_2.5_7b_instruct,cities_10k,OK,0.9131099353321576,0.9084332145556635,0.9374475344815181,0.8277703604806409,0.8552188552188552,0.11687635630369186,0.04008430807673446,0.7335564136505127,0.7335564136505127,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/cities_10k/ensemble_test_metrics.json,08a035f4e33ceda1c5b742447bb1bcb8707fa0e6d877e2a07f48e727a0d0354d,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/cities_10k/ensemble_dev_metrics.json,92a32037e59d012d3c602f10f9b933b3f29fd79a88702eeded62c6c4893668f3,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,qwen_2.5_7b_instruct,math_operations_6k,OK,0.9941272788810728,0.9968680578316764,0.9992579056971154,0.9714285714285714,0.982089552238806,0.01582236960530281,0.013815332875709005,0.9683247208595276,0.9683247208595276,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/math_operations_6k/ensemble_test_metrics.json,2e3ac533ae198e76ada800d09530a0f57d1bae237aa51f1fa6daaab27f7c4521,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/math_operations_6k/ensemble_dev_metrics.json,c0d23849ccde7394ef7e89e257d206b20113ebf382e60d2355a9a3d5f9193bae,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,qwen_2.5_7b_instruct,medals_9k,OK,0.8840071804495941,0.8774025529417517,0.8022694953211982,0.8017817371937639,0.6817640047675805,0.11422435939311981,0.028133229914646108,0.26663360595703123,0.26663360595703123,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/medals_9k/ensemble_test_metrics.json,a1c100082eebda04b0cd0e24b5edb2d7ba26977f686c5a2c8f3a650d21a96cb3,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/qwen_2.5_7b_instruct/medals_9k/ensemble_dev_metrics.json,50dcc128e8674113d8ed6cddfca882d65f7b0e05ee6bef621d8a504858ca872c,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,qwen_2.5_7b_instruct,gsm8k,FORMAL,0.8256984495543405,0.7992706021157039,0.7170736742905954,0.708649468892261,0.6363636363636364,0.17042645812034607,0.043416823174278724,0.35618636608123777,0.35618636608123777,True,gsm8k_aligned_v2/metrics/qwen_2.5_7b_instruct/trivia_top128/ensemble_test_metrics.json,9589fb90e8493386527f7c89f3a0ad9b84b84c6cb55f3d1b87dc2b6253a8154b,json:/test,gsm8k_aligned_v2/checkpoints/qwen_2.5_7b_instruct/trivia_top128/ensemble_dev_metrics.json,fa46fd7916491e89991434f5c94ce9f6d11ba0dce6a8effc7ca9184c8b874750,json:/dev,method_b_target_adaptation_aligned_v2
Method B Frozen-neuron Task Adaptation,ministral_8b_instruct,trivia_qa_2_60k,OK,0.8796461582578003,0.8747170805348726,0.913735833062346,0.803917103165566,0.842911877394636,0.13636638224124908,0.04733482525058038,0.6439071953296661,0.6439071953296661,True,02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,e23313e399d939eae184fd1da47cc52a6a2e53e3252bb4e6c331e08bf6c5c09f,json:/test (fallback: json:/),02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/source_ensemble_dev_metrics.json,57c5f6709b86f282a4811739240192d1c06eabca41839f442e805c5ef3388e71,json:/dev (fallback: json:/),triviaqa_in_domain_shared_method_a_reference
Method B Frozen-neuron Task Adaptation,ministral_8b_instruct,notable_people,OK,0.8253766979567636,0.8433212256556191,0.9188234926027576,0.7575264442636289,0.8058631921824104,0.1495611071586609,0.038611363199750906,0.611147528886795,0.611147528886795,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/notable_people/ensemble_test_metrics.json,47b699b620e0f243f20cd4008afe8f57f30336499a8a778bb8db1703b936fca1,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/notable_people/ensemble_dev_metrics.json,c52e269a75b204e32420510e9b9b738e7f429625be7063a9fdbb997bf636a594,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,ministral_8b_instruct,cities_10k,OK,0.9305408922948104,0.9253141766101126,0.9703831253431224,0.837891927951968,0.8823244552058112,0.09559786319732666,0.03886693141847511,0.8035834789276123,0.8035834789276123,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/cities_10k/ensemble_test_metrics.json,b2907cf0bacf0aa66060a1506c18bf8e6224bbad494ca1b34ed83980f7b36544,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/cities_10k/ensemble_dev_metrics.json,f61a67b3e4aa58724d6c38f3d1520a8a7f9dd8b6ef7dce41ce8a7ad15ef82d05,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,ministral_8b_instruct,math_operations_6k,OK,0.9937084520417854,0.9939123166482976,0.9976370313137056,0.9654761904761905,0.9766693483507642,0.023418830707669258,0.016697767197287508,0.6625317394733429,0.6625317394733429,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/math_operations_6k/ensemble_test_metrics.json,d8f3456a907568aef043cad58e2b9604241b216b868bb4e03d7a84214cc83337,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/math_operations_6k/ensemble_dev_metrics.json,9cac768423ed8f12a34864631817a4b236fb5f7da9e7eba9d19fe7cb01c76787,json:/dev (fallback: json:/),method_b_target_adaptation
