sample_id,label
mistral_7b_instruct::trivia_qa_2_60k::base::main::15621,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::43744,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::974,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::49742,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::32102,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::37377,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::19890,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::24594,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::8970,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::47033,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::55919,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::6926,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::19467,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::14099,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::18092,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::35310,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::25239,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::12251,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::33905,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::497,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::4300,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::27462,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::27214,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::43985,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::7329,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::1770,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::27124,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::14297,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::14326,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20859,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::23430,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::5313,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::16003,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::17030,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::37040,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::8516,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::44343,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::25915,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20139,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::50055,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::3772,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::23599,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20586,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::43189,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::501,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::2439,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::40620,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::44187,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::23994,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::36299,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::8229,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::6792,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::26707,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::3677,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::34834,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::31421,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::22400,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::17023,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::18316,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::24582,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::17938,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::1145,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::48831,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::15699,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::3684,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::38546,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::46524,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20761,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::9770,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::18721,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::6358,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::55631,1
