sample_id,label
llama3.1_8b_chat::trivia_qa_2_60k::base::main::38945,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::33186,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::32645,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::40229,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::25924,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::13079,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::53805,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::24927,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::40376,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::3307,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::56824,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::11909,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::26228,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::43433,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::24555,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::31731,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::4938,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::35609,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::47822,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::13130,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::28550,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::42732,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::14805,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::36887,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::57771,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::12038,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::36197,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::16348,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::24302,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::45661,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::18482,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::12066,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::31237,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::51710,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::34650,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::57007,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::4264,1
llama3.1_8b_chat::trivia_qa_2_60k::base::main::45292,1
