sample_id,label
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::15142,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::34314,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::41979,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::42737,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::2239,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::40295,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::55005,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::22282,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::31890,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::30403,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57956,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::47041,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::33440,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::46845,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::48097,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::40129,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::38513,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::11685,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::53490,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::35859,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::5675,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::44933,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::51545,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::25393,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::54748,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::29388,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::44420,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::19560,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::3210,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::28250,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::33996,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::16210,1
